Ticker,Precio,Dif,TIR,TEM,TNA,MD,Vol(M),Paridad,VT,dQ,dF,c($m),cY(%),TIR-3,TIR-2,TIR-1,TIR+1,TIR+2,TIR+3,TIR+5,TIR+10
BPY6D,35.372,-0.36%,-12.5%,-1.1%,-13.3%,0.25,0.0,104.0%,34.023,88,86,0.264,0.745,+0.8%,+0.6%,+0.3%,-0.3%,-0.5%,-0.8%,-1.3%,-2.5%
BPD7D,101.200,-0.05%,5.5%,0.4%,5.3%,1.31,0.1,99.5%,101.750,56,604,2.500,2.470,+4.0%,+2.6%,+1.3%,-1.3%,-2.5%,-3.7%,-6.0%,-11.5%
BPC7D,101.500,+0.05%,5.2%,0.4%,5.1%,1.32,0.1,99.8%,101.750,56,604,2.500,2.463,+4.0%,+2.6%,+1.3%,-1.3%,-2.5%,-3.7%,-6.1%,-11.5%
BPB7D,101.550,-0.29%,5.2%,0.4%,5.1%,1.32,0.0,99.8%,101.750,56,604,2.500,2.462,+4.0%,+2.6%,+1.3%,-1.3%,-2.5%,-3.7%,-6.1%,-11.5%
BPA7D,103,0.00%,4.1%,0.3%,4.0%,1.32,0.0,101.2%,101.750,56,604,2.500,2.427,+4.0%,+2.7%,+1.3%,-1.3%,-2.5%,-3.8%,-6.1%,-11.6%
BPB8D,89.030,-0.02%,8.3%,0.7%,8.0%,2.44,0.2,88.1%,101.050,56,970,1.500,1.685,+7.4%,+4.8%,+2.4%,-2.3%,-4.5%,-6.7%,-10.8%,-20.0%
BPA8D,90.910,-0.81%,7.4%,0.6%,7.2%,2.45,0.0,90.0%,101.050,56,970,1.500,1.650,+7.5%,+4.9%,+2.4%,-2.3%,-4.6%,-6.7%,-10.9%,-20.2%
