Ticker,Precio,Dif,TIR,TEM,TNA,MD,Vol(M),Paridad,VT,dQ,dF,c($m),cY(%),TIR-10,TIR-5,TIR-3,TIR-2,TIR-1,TIR+1,TIR+2,TIR+3,TIR+5,TIR+10
TTJ26,155.600,-0.06%,27.1%,2.0%,24.2%,0.15,8684.7,100.7%,154.477,69,68,62.698,40.294,+1.5%,+0.8%,+0.4%,+0.3%,+0.1%,-0.1%,-0.3%,-0.4%,-0.7%,-1.4%
TTS26,155.050,-0.42%,27.3%,2.0%,24.4%,0.31,9219.5,101.0%,153.524,146,145,70.643,45.561,+3.3%,+1.6%,+1.0%,+0.6%,+0.3%,-0.3%,-0.6%,-0.9%,-1.5%,-3.0%
TTD26,154.350,-0.03%,27.7%,2.1%,24.7%,0.51,3634.1,100.8%,153.081,237,236,80.817,52.360,+5.4%,+2.6%,+1.5%,+1.0%,+0.5%,-0.5%,-1.0%,-1.5%,-2.5%,-4.8%
