#,Company,Symbol,Weight,Price,Chg,% Chg
235,Ametek,AME,0.08,178.06,0.78,0.44
236,Kenvue,KVUE,0.07,21.29,-0.08,-0.36
237,Xcel Energy,XEL,0.07,68.51,0.60,0.89
238,D. R. Horton,DHI,0.07,128.62,-0.04,-0.03
239,Yum! Brands,YUM,0.07,141.57,0.18,0.13
240,Electronic Arts,EA,0.07,156.57,2.16,1.40
241,Garmin,GRMN,0.07,203.42,1.68,0.83
242,Cardinal Health,CAH,0.07,164.06,0.07,0.04
243,Cognizant,CTSH,0.07,77.63,0.91,1.19
244,Microchip Technology,MCHP,0.07,70.93,2.34,3.42
245,Otis Worldwide,OTIS,0.07,96.41,0.43,0.45
246,Prudential Financial,PRU,0.07,106.82,1.22,1.15
247,Baker Hughes,BKR,0.07,38.06,0.23,0.60
248,ResMed,RMD,0.07,254.77,0.25,0.10
249,Entergy,ETR,0.07,82.97,0.36,0.43
250,Sysco,SYY,0.07,75.82,-0.09,-0.12
251,Rockwell Automation,ROK,0.07,325.68,1.87,0.58
252,Consolidated Edison,ED,0.07,101.26,0.11,0.11
253,Brown & Brown,BRO,0.07,110.34,-0.58,-0.52
254,Hartford The,HIG,0.07,127.54,0.11,0.09
255,EQT Corporation,EQT,0.07,60.43,1.06,1.79
256,Targa Resources,TRGP,0.07,165.09,0.36,0.22
257,Carnival,CCL,0.07,26.42,2.38,9.89
258,eBay,EBAY,0.06,76.33,-0.53,-0.69
259,Wabtec,WAB,0.06,205.19,3.00,1.48
260,Hershey Company The,HSY,0.06,171.76,-1.38,-0.79
261,Vulcan Materials Company,VMC,0.06,262.84,1.80,0.69
262,Vici Properties,VICI,0.06,32.83,0.02,0.05
263,Live Nation Entertainment,LYV,0.06,148.43,-2.26,-1.50
264,Old Dominion,ODFL,0.06,162.63,1.27,0.79
265,CoStar Group,CSGP,0.06,81.23,1.19,1.49
266,Monolithic Power Systems,MPWR,0.06,715.40,22.78,3.29
267,Arch Capital Group,ACGL,0.06,91.28,0.17,0.19
268,WEC Energy Group,WEC,0.06,105.70,0.20,0.19
269,Ingersoll Rand,IR,0.06,82.90,0.97,1.19
270,Agilent Technologies,A,0.06,117.34,1.20,1.04
271,Martin Marietta Materials,MLM,0.06,552.57,0.61,0.11
272,GE HealthCare,GEHC,0.06,71.76,0.60,0.84
273,Delta Air Lines,DAL,0.06,49.47,1.22,2.53
274,Equifax,EFX,0.06,257.45,2.37,0.93
275,Dexcom,DXCM,0.06,80.76,0.92,1.15
276,Extra Space Storage,EXR,0.06,147.78,-1.19,-0.80
277,PG&E Corporation,PCG,0.06,14.08,0.26,1.92
278,Gartner,IT,0.06,401.79,3.29,0.83
279,M&T Bank,MTB,0.06,192.50,3.09,1.63
280,Xylem Inc.,XYL,0.06,126.40,0.91,0.72
281,Kraft Heinz,KHC,0.06,25.98,0.05,0.21
282,Iron Mountain,IRM,0.06,103.71,0.66,0.64
283,Raymond James Financial,RJF,0.06,151.25,0.29,0.19
284,Las Vegas Sands,LVS,0.05,42.31,0.36,0.85
285,Willis Towers Watson,WTW,0.05,300.96,-2.74,-0.90
286,Ansys,ANSS,0.05,337.52,2.51,0.75
