#,Company,Symbol,Weight,Price,Chg,% Chg
381,Lululemon Athletica,LULU,0.03,163.34,-3.76,-2.25
382,West Pharmaceutical Services,WST,0.03,267.83,4.88,1.85
383,Bunge Global,BG,0.03,95.83,2.74,2.94
384,Dollar Tree,DLTR,0.03,93.17,-2.80,-2.92
385,Jacobs Solutions,J,0.03,157.37,-3.26,-2.03
386,Amcor,AMCR,0.03,8.15,0.09,1.18
387,Packaging Corporation of America,PKG,0.03,208.74,-0.91,-0.43
388,KeyCorp,KEY,0.03,17.13,-0.60,-3.41
389,Paramount Skydance Corp,PSKY,0.03,17.01,-0.42,-2.40
390,Trimble Inc.,TRMB,0.03,78.32,-0.40,-0.50
391,Halliburton,HAL,0.03,21.86,-0.54,-2.39
392,Tyson Foods,TSN,0.03,52.24,-0.57,-1.08
393,Genuine Parts Company,GPC,0.03,133.37,-0.18,-0.14
394,Lennox International,LII,0.03,526.82,-0.17,-0.03
395,Aptiv,APTV,0.03,83.64,-0.00,-0.01
396,Evergy,EVRG,0.03,78.47,-0.18,-0.23
397,Snap-on,SNA,0.03,344.80,12.21,3.67
398,GoDaddy,GDDY,0.03,129.51,-0.73,-0.56
399,Pentair,PNR,0.03,109.01,-1.30,-1.18
400,Principal Financial Group,PFG,0.03,80.18,-0.72,-0.89
401,Gartner,IT,0.03,235.62,-1.17,-0.50
402,McCormick & Company,MKC,0.03,66.16,0.86,1.31
403,Centene Corporation,CNC,0.03,35.97,0.18,0.49
404,Alliant Energy,LNT,0.03,68.63,-0.00,-0.00
405,Coterra,CTRA,0.03,23.01,-0.19,-0.83
406,Invitation Homes,INVH,0.03,28.53,0.10,0.37
407,Southwest Airlines,LUV,0.03,33.16,-0.40,-1.19
408,Incyte,INCY,0.03,89.08,0.92,1.05
409,Weyerhaeuser,WY,0.03,23.94,0.21,0.88
410,"F5, Inc.",FFIV,0.03,295.65,-35.10,-10.61
411,Essex Property Trust,ESS,0.03,257.95,0.80,0.31
412,Fortive,FTV,0.03,48.73,0.24,0.49
413,Best Buy,BBY,0.03,77.82,-0.59,-0.75
414,Gen Digital,GEN,0.03,26.52,-0.52,-1.94
415,Erie Indemnity,ERIE,0.03,310.31,-8.09,-2.54
416,International Flavors & Fragrances,IFF,0.03,62.94,1.01,1.64
417,J.B. Hunt,JBHT,0.03,165.84,27.01,19.45
418,Expeditors International,EXPD,0.03,118.14,0.79,0.67
419,TKO Group Holdings,TKO,0.03,189.56,-1.65,-0.86
420,Dow Inc.,DOW,0.03,21.87,-0.33,-1.50
421,Mid-America Apartment Communities,MAA,0.03,132.30,0.30,0.23
422,Hologic,HOLX,0.03,68.82,1.82,2.72
423,Allegion,ALLE,0.03,177.47,0.19,0.10
424,Omnicom Group,OMC,0.03,78.36,-0.95,-1.20
425,C.H. Robinson,CHRW,0.02,127.79,-0.22,-0.18
426,Zebra Technologies,ZBRA,0.02,293.35,0.01,0.00
427,LyondellBasell,LYB,0.02,46.06,-0.70,-1.49
428,Kimco Realty,KIM,0.02,21.71,-0.01,-0.02
429,Textron,TXT,0.02,82.22,-0.30,-0.36
430,Deckers Brands,DECK,0.02,97.74,1.30,1.35
